Item Names,ID,Type,Exclusive To,Cost,Effect
Master Roshi Training,00_0_0000,Capsule,,1,"Increases maximum health by 2,500 HP (1/4 of a bar)."
Rush Attack Boost 1,00_0_0005,Capsule,,1,Increases Rush Attack damage by 2.5%.
Rush Attack Boost 2,00_0_0006,Capsule,,3,Increases Rush Attack damage by 5%.
Rush Attack Boost 3,00_0_0007,Capsule,,5,Increases Rush Attack damage by 7.5%.
Smash Attack Boost 1,00_0_0011,Capsule,,1,"Increases Smash Attack damage by 2.5%. 
Increases Rush Chain damage by 2.5%."
Smash Attack Boost 2,00_0_0012,Capsule,,3,"Increases Smash Attack damage by 5%. 
Increases Rush Chain damage by 5%."
Smash Attack Boost 3,00_0_0013,Capsule,,5,"Increases Smash Attack damage by 7.5%. 
Increases Rush Chain damage by 7.5%."
Ki Blast Attack Boost 1,00_0_0014,Capsule,,1,"Increases Rush Ki Blast damage by 2.5%. 
Increases Smash Ki Blast damage by 2.5%."
Ki Blast Attack Boost 2,00_0_0015,Capsule,,3,"Increases Rush Ki Blast damage by 5%. 
Increases Smash Ki Blast damage by 5%."
Ki Blast Attack Boost 3,00_0_0016,Capsule,,5,"Increases Rush Ki Blast damage by 7.5%. 
Increases Smash Ki Blast damage by 7.5%."
Power Unleashed,00_0_0023,Capsule,,2,Increases Burst Rush damage by 5%.
Finishing Blow,00_0_0024,Capsule,,1,Increases Burst Meteor damage by 5%.
Blast Burst,00_0_0026,Capsule,,1,"Increases ki cost for Blasts by 1 bar. 
Increases Blast damage by 5%. 
Increases Blast Combo damage by 5%."
Ultimate Burst,00_0_0027,Capsule,,2,"Increases ki cost for Ultimate Blasts by 1 bar. 
Causes stun when Sparking Mode ends after using Ultimate Blast. 
Increases Ultimate Blast damage by 5%."
Blast Attack Boost 1,00_0_0028,Capsule,,1,"Increases Blast damage by 2.5%. 
Increases Blast Combo damage by 2.5%. 
Increases Ultimate Blast damage by 2.5%."
Blast Attack Boost 2,00_0_0029,Capsule,,3,"Increases Blast damage by 5%. 
Increases Blast Combo damage by 5%. 
Increases Ultimate Blast damage by 5%."
Blast Attack Boost 3,00_0_0030,Capsule,,5,"Increases Blast damage by 7.5%. 
Increases Blast Combo damage by 7.5%. 
Increases Ultimate Blast damage by 7.5%."
Super Warrior,00_0_0031,Capsule,,2,Increases Rush Attack damage by 5% during Sparking Mode.
Draconic Aura,00_0_0032,Capsule,,4,"Increases armor break level by 3.
Beats Power body and Light body."
Light Body,00_0_0033,Capsule,,4,"Increases bullet armor level by 3.
Cannot be flinched by Ki Blasts (Giants and Sparking ignore this capsule)."
Dragon Rush,00_0_0035,Capsule,,3,"Increases armor break level by 3 against Rush Attack category actions.
Beats Power Body."
The Secret to Counters,00_0_0037,Capsule,,5,Reduces Skill Count needed for Super Z-Counters by 1 (minimum 1).
Fury!,00_0_0038,Capsule,,4,"Increases Blast damage by 5% at 75% HP. 
Increases Blast damage by additional 5% (10% total) at 50% HP. 
Increases Blast damage by additional 5% (15% total) at 25% HP. 
Increases Blast Combo damage by same amounts."
Active Heart,00_0_0039,Capsule,,1,Increases ki gained from landing attacks by 10%.
Indomitable Fighting Spirit,00_0_0040,Capsule,,3,Increases ki gained from landing attacks by 20%.
Warming Up,00_0_0041,Capsule,,2,Increases health recovery while on standby in Team Battles by 50%.
Ready for Anything,00_0_0042,Capsule,,1,Increases ki recovery per second while on standby in Team Battles by 50%.
Z-Burst Dash Master,00_0_0046,Capsule,,3,Reduces ki cost for Z-Burst Dashes by 50%.
The Secret to Z-Burst Dashes,00_0_0047,Capsule,,5,Reduces ki cost for Z-Burst Dashes by 100% (free).
Proof of Friendship,00_0_0048,Capsule,,2,Switch gauge starts at maximum.
Dragon Spirit,00_0_0055,Capsule,,3,Increases skill gauge recovery speed by 25%.
Super Transformation,00_0_0066,Capsule,,1,Reduces Skill Count needed for Transformations and Fusions by 1 (minimum 1).
Fighting Spirit,00_0_0068,Capsule,,5,"Increases Ultimate Blast damage by 5% at 75% HP. 
Increases Ultimate Blast damage by additional 5% (10% total) at 50% HP. 
Increases Ultimate Blast damage by additional 5% (15% total) at 25% HP."
Divine Blow,00_0_0070,Capsule,,3,Increases Ultimate Blast damage by 5%.
Rising Fighting Spirit,00_0_0072,Capsule,,3,Ki gauge starts at maximum.
Power of Namek,00_0_0074,Capsule,,5,"Increases all attack damage by 2.5% on Namek map.
Increases Rush, Smash, Combo, Ki Blasts, Blasts, Ultimate Blasts, Throws, Parries, Pursuits."
Power of Earth,00_0_0075,Capsule,,5,"Increases all attack damage by 2.5% on Earth maps (excluding City Ruins and Hyperbolic Time Chamber).
Increases Rush, Smash, Combo, Ki Blasts, Blasts, Ultimate Blasts, Throws, Parries, Pursuits."
Power of the Universe,00_0_0076,Capsule,,5,"Increases all attack damage by 2.5% on Tournament of Power map.
Increases Rush, Smash, Combo, Ki Blasts, Blasts, Ultimate Blasts, Throws, Parries, Pursuits."
Perfect Guard,00_0_0082,Capsule,,5,Take no damage while guarding.
Crisis Avoided,00_0_0092,Capsule,,1,Reduces ki cost for Short Dashes by 10%.
Battle Control,00_0_0093,Capsule,,2,Increases Switch gauge recovery by 50% in Team Battles.
Latent Power Unleashed 1,00_0_0094,Capsule,,1,Ki gauge starts with 1 bar extra.
Latent Power Unleashed 2,00_0_0095,Capsule,,2,Ki gauge starts with 2 bars extra.
Big Impact,00_0_0096,Capsule,,1,"Increases all Impact Action damage by 20% per DP advantage enemy has over you (stacks up to 5 times for 100% total). 
Only active when enemy has 1-5 more DP than you."
Mind Breaker,00_0_0098,Capsule,,1,Increases ki damage dealt after successful Guard Clash by 50%.
Waters Blessing,00_0_0099,Capsule,,1,Regenerates 100 HP per second and 100 ki per second while in water (1 bar of health and ki every 100 seconds).
Miracle Master,00_0_0101,Capsule,,1,Automatically dodges melee attacks when downed (excludes Ki Blasts).
Latent Power!,00_0_0102,Capsule,,5,"Increases damage resistance by 2.5% at 75% HP. 
Increases damage resistance by additional 5% (7.5% total) at 50% HP. 
Increases damage resistance by additional 7.5% (15% total) at 25% HP."
Guard Master,00_0_0103,Capsule,,1,Grants immunity to Guard Clashes.
Mirage,00_0_0104,Capsule,,1,Automatically dodges subsequent barrage Blasts after dodging one with High-Speed Movement or High-Speed Evasion.
Dendes Healing Ability,00_0_0111,Capsule,,4,"Recovers 5,000 HP (half a bar) every 60 seconds."
Rising Tension,00_0_0112,Capsule,,3,Recovers 1 bar of ki every 60 seconds
Melee Charge 1,00_0_0113,Capsule,,1,"Reduces charging time for Smash Attacks by 2%. 
Reduces charging time for Rush Chains by 2%."
Melee Charge 2,00_0_0114,Capsule,,2,"Reduces charging time for Smash Attacks by 3%. 
Reduces charging time for Rush Chains by 3%."
Melee Charge 3,00_0_0115,Capsule,,3,"Reduces charging time for Smash Attacks by 5%. 
Reduces charging time for Rush Chains by 5%."
Energy Saver 1,00_0_0116,Capsule,,1,"Reduces ki cost for Rush Ki Blasts by 2%. 
Reduces ki cost for Smash Ki Blasts by 2%."
Energy Saver 2,00_0_0117,Capsule,,2,"Reduces ki cost for Rush Ki Blasts by 3%. 
Reduces ki cost for Smash Ki Blasts by 3%."
Energy Saver 3,00_0_0118,Capsule,,3,"Reduces ki cost for Rush Ki Blasts by 5%. 
Reduces ki cost for Smash Ki Blasts by 5%."
Ki Blast Charge 1,00_0_0119,Capsule,,1,Reduces charging time for Smash Ki Blasts by 2%.
Ki Blast Charge 2,00_0_0120,Capsule,,2,Reduces charging time for Smash Ki Blasts by 3%.
Ki Blast Charge 3,00_0_0121,Capsule,,3,Reduces charging time for Smash Ki Blasts by 5%.
Dragon Assault,00_0_0122,Capsule,,3,Reduces ki cost for Vanishing Assaults by 15%.
Power Body,00_0_0123,Capsule,,5,"Increases combatives armor level by 3. 
Reduces melee defense by 20%. 
Reduces blast defense by 10%."
Speed Up,00_0_0124,Capsule,,3,Reduces ki cost for Short Dashes by 20%.
Exquisite Skill,00_0_0125,Capsule,,1,"Reduces self recovery time when stunned/restrained by 20%. 
Increases enemy recovery time when stunned/restrained by 20%."
Ki Control,00_0_0126,Capsule,,3,"Reduces ki cost for Dragon Dashes by 25%. 
Reduces automatic ki recovery by 5%."
The Secret to Dragon Dashes,00_0_0127,Capsule,,5,Reduces ki cost for Dragon Dashes by 25%.
Savior,00_0_0128,Capsule,,5,"Activates Sparking Mode on first switch-in. 
Only activates once per team in Team Battles."
Combo Master,00_0_0129,Capsule,,1,Reduces combo damage scaling by 2.5%.
Combo King,00_0_0130,Capsule,,2,Reduces combo damage scaling by 5%.
God Ki,00_0_0131,Capsule,,5,"Reduces ki cost for Blasts by 50%. 
Recovers 1 bar of ki after unsuccessful Blast."
Sparking! Plus,00_0_0132,Capsule,,1,"Reduces Sparking Mode gauge decrease speed by 15%. 
Reduces melee defense by 20%. 
Reduces blast defense by 10%."
Style of the Strong,00_0_0133,Capsule,,2,Reduces Sparking Mode gauge decrease speed by 15%.
Dragon Break,00_0_0134,Capsule,,2,Increases Dragon Homing use limit by 1.
Dragon Crash,00_0_0135,Capsule,,2,Increases Dragon Smash damage by 5%.
Vanishing Break,00_0_0136,Capsule,,2,Increases Vanishing Attack use limit by 1.
Vanishing Crash,00_0_0137,Capsule,,2,Increases Vanishing Attack damage by 5%.
Secret Measures,00_0_0138,Capsule,,2,Grants 1 additional Skill Count.
Rush Ki Blast 1,00_0_0139,Capsule,,1,Increases Rush Ki Blast speed by 5%.
Rush Ki Blast Count Boost,00_0_0140,Capsule,,1,Increases Rush Ki Blast maximum count by 2.
Master Strike,00_0_0141,Capsule,,3,"Increases Rush Attack damage by 5%. 
Increases Smash Attack damage by 5%. 
Increases Rush Chain damage by 5%. 
Reduces maximum health by 5,000 HP (half a bar)."
Master Ki Blast,00_0_0142,Capsule,,2,"Increases Rush Ki Blast speed by 5%. 
Reduces ki cost for Rush Ki Blasts by 5%. 
Reduces ki cost for Smash Ki Blasts by 5%. 
Reduces maximum health by 5,000 HP (half a bar)."
Master Throw,00_0_0143,Capsule,,1,Increases Throw damage by 5%.
High-Speed Movement Master,00_0_0144,Capsule,,1,"Reduces Sparking gauge cost for High-Speed Movements by 25%. 
Reduces all defense by 20%."
The Secret to High-Speed Movements,00_0_0145,Capsule,,1,Reduces Sparking gauge cost for High-Speed Movements by 25%.
Super Movement Master,00_0_0146,Capsule,,1,"Reduces Sparking gauge cost for Super Movements by 25%. 
Reduces all defense by 20%."
The Secret to Super Movements,00_0_0147,Capsule,,1,Reduces Sparking gauge cost for Super Movements by 25%.
Performer,00_0_0148,Capsule,,1,Increases Blast by 5% for 30 seconds after using an emote for 1.5+ seconds.
Dragon Heart,00_0_0149,Capsule,,3,Recovers 25% of Skill gauge after dodging a Blast or Ultimate Blast with High-Speed Movement.
King Kai Training,00_0_0150,Capsule,,3,"Increases maximum health by 5,000 HP (half a bar)."
God of Destruction Training,00_0_0151,Capsule,,5,"Increases maximum health by 7,500 HP (3/4 of a bar)."
Almighty Boost,00_0_0152,Capsule,,5,"Increases Rush Attack damage by 2.5%. 
Increases Smash Attack damage by 2.5%. 
Increases Rush Chain damage by 2.5%. 
Increases Rush Ki Blast damage by 2.5%. 
Increases Smash Ki Blast damage by 2.5%."
Super Sparking!,00_0_0153,Capsule,,4,"Increases Rush Attack damage by 5% during Sparking Mode. 
Reduces Sparking Mode gauge decrease speed by 5%."
Brolys Ring,00_0_0155,Capsule,,1,Prevents Transformations and Fusions during battle
Balanced Strategy: Melee,00_7_0000,AI,,,
Balanced Strategy: Ki Blasts,00_7_0001,AI,,,
Balanced Strategy: Sparking!,00_7_0002,AI,,,
Attack Strategy: Combos,00_7_0003,AI,,,
Defense Strategy: Counters,00_7_0004,AI,,,
Balanced Strategy: Restrain,00_7_0005,AI,,,
Defense Strategy: Blasts,00_7_0006,AI,,,
Attack Strategy: Ultimate Blasts,00_7_0007,AI,,,
Defense Strategy: Gauge Recovery,00_7_0008,AI,,,
Balanced Strategy: Blasts,00_7_0009,AI,,,
Defense Strategy: Skills,00_7_0010,AI,,,
Attack Strategy: Barrage,00_7_0011,AI,,,
Balanced Strategy: Movement,00_7_0012,AI,,,
Attack Strategy: Evasion,00_7_0013,AI,,,
Attack Strategy: Vanishing,00_7_0014,AI,,,
Outfit 1,00_1_0000_0000_00,Costume,Goku (Z - Early),,
Outfit 1,00_1_0000_0000_10,Costume,Goku (Z - Mid),,
Outfit 1,00_1_0000_0000_11,Costume,Goku (Z - Mid) Super Saiyan,,
Outfit 1,00_1_0000_0000_20,Costume,Goku (Z - End),,
Outfit 1,00_1_0000_0000_21,Costume,Goku (Z - End) Super Saiyan,,
Outfit 1,00_1_0000_0000_22,Costume,Goku (Z - End) Super Saiyan 2,,
Outfit 1,00_1_0000_0000_23,Costume,Goku (Z - End) Super Saiyan 3,,
Outfit 1,00_1_0000_0000_33,Costume,Goku (GT) Super Saiyan 4,,
Outfit 1,00_1_0000_0000_40,Costume,Goku (Super),,
Outfit 1,00_1_0000_0000_41,Costume,Goku (Super) Super Saiyan,,
Outfit 1,00_1_0000_0000_43,Costume,Goku (Super) Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0000_50,Costume,Goku (Super) Ultra Instinct -Sign-,,
Outfit 1,00_1_0000_0000_51,Costume,Goku (Super) Ultra Instinct,,
Outfit 1,00_1_0000_0001_42,Costume,Goku (Super) Super Saiyan God,,
Outfit 1,00_1_0000_0002_30,Costume,Goku (GT),,
Outfit 1,00_1_0000_0002_31,Costume,Goku (GT) Super Saiyan,,
Outfit 1,00_1_0000_0002_32,Costume,Goku (GT) Super Saiyan 3,,
Outfit 1,00_1_0000_0002_50,Costume,Goku (Teen),,
Outfit 1,00_1_0000_0020_00,Costume,Vegeta (Z - Scouter),,
Outfit 1,00_1_0000_0020_10,Costume,Vegeta (Z - Early),,
Outfit 1,00_1_0000_0020_11,Costume,Vegeta (Z - Early) Super Saiyan,,
Outfit 1,00_1_0000_0020_30,Costume,Vegeta (Z - End),,
Outfit 1,00_1_0000_0020_31,Costume,Vegeta (Z - End) Super Saiyan,,
Outfit 1,00_1_0000_0020_32,Costume,Vegeta (Z - End) Super Saiyan 2,,
Outfit 1,00_1_0000_0020_40,Costume,Majin Vegeta,,
Outfit 1,00_1_0000_0020_50,Costume,Vegeta (GT) Super Saiyan 4,,
Outfit 1,00_1_0000_0020_60,Costume,Vegeta (Super),,
Outfit 1,00_1_0000_0020_61,Costume,Vegeta (Super) Super Saiyan,,
Outfit 1,00_1_0000_0020_63,Costume,Vegeta (Super) Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0021_20,Costume,Super Vegeta,,
Outfit 1,00_1_0000_0022_62,Costume,Vegeta (Super) Super Saiyan God,,
Outfit 1,00_1_0000_0023_00,Costume,Great Ape Vegeta,,
Outfit 1,00_1_0000_0030_00,Costume,Gohan (Kid),,
Outfit 1,00_1_0000_0031_00,Costume,Gohan (Teen),,
Outfit 1,00_1_0000_0031_01,Costume,Gohan (Teen) Super Saiyan,,
Outfit 1,00_1_0000_0031_02,Costume,Gohan (Teen) Super Saiyan 2,,
Outfit 1,00_1_0000_0032_00,Costume,Gohan (Adult),,
Outfit 1,00_1_0000_0032_01,Costume,Gohan (Adult) Super Saiyan,,
Outfit 1,00_1_0000_0032_02,Costume,Gohan (Adult) Super Saiyan 2,,
Outfit 1,00_1_0000_0032_10,Costume,Great Saiyaman,,
Outfit 1,00_1_0000_0032_20,Costume,Ultimate Gohan,,
Outfit 1,00_1_0000_0032_30,Costume,Gohan (Future),,
Outfit 1,00_1_0000_0032_31,Costume,Gohan (Future) Super Saiyan,,
Outfit 1,00_1_0000_0040_00,Costume,Piccolo,,
Outfit 1,00_1_0000_0040_10,Costume,Piccolo (Fused with Kami),,
Outfit 1,00_1_0000_0040_20,Costume,Nail,,
Outfit 1,00_1_0000_0050_00,Costume,Krillin,,
Outfit 1,00_1_0000_0060_00,Costume,Yamcha,,
Outfit 1,00_1_0000_0070_00,Costume,Tien,,
Outfit 1,00_1_0000_0080_00,Costume,Trunks (Sword),,
Outfit 1,00_1_0000_0080_01,Costume,Trunks (Sword) Super Saiyan,,
Outfit 1,00_1_0000_0080_10,Costume,Trunks (Melee),,
Outfit 1,00_1_0000_0080_11,Costume,Trunks (Melee) Super Saiyan,,
Outfit 1,00_1_0000_0080_30,Costume,Future Trunks,,
Outfit 1,00_1_0000_0080_31,Costume,Future Trunks Super Saiyan,,
Outfit 1,00_1_0000_0081_20,Costume,Super Trunks,,
Outfit 1,00_1_0000_0082_00,Costume,Trunks (Kid),,
Outfit 1,00_1_0000_0082_01,Costume,Trunks (Kid) Super Saiyan,,
Outfit 1,00_1_0000_0090_00,Costume,Goten,,
Outfit 1,00_1_0000_0090_01,Costume,Goten Super Saiyan,,
Outfit 1,00_1_0000_0100_00,Costume,Vegito,,
Outfit 1,00_1_0000_0100_01,Costume,Super Vegito,,
Outfit 1,00_1_0000_0100_02,Costume,Vegito Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0110_00,Costume,Gogeta (Super),,
Outfit 1,00_1_0000_0110_01,Costume,Gogeta (Super) Super Saiyan,,
Outfit 1,00_1_0000_0110_02,Costume,Gogeta (GT) Super Saiyan 4,,
Outfit 1,00_1_0000_0110_03,Costume,Gogeta (Super) Super Saiyan God Super Saiyan,,
Outfit 1,00_1_0000_0110_04,Costume,Super Gogeta (Z),,
Outfit 1,00_1_0000_0120_00,Costume,Gotenks,,
Outfit 1,00_1_0000_0120_01,Costume,Gotenks Super Saiyan,,
Outfit 1,00_1_0000_0120_02,Costume,Gotenks Super Saiyan 3,,
Outfit 1,00_1_0000_0130_00,Costume,Videl,,
Outfit 1,00_1_0000_0140_00,Costume,Master Roshi,,
Outfit 1,00_1_0000_0141_00,Costume,Master Roshi Full Power,,
Outfit 1,00_1_0000_0150_00,Costume,Frieza (Z) 1st Form,,
Outfit 1,00_1_0000_0151_00,Costume,Frieza (Z) 2nd Form,,
Outfit 1,00_1_0000_0152_00,Costume,Frieza (Z) 3rd Form,,
Outfit 1,00_1_0000_0153_00,Costume,Frieza (Z) 4th Form,,
Outfit 1,00_1_0000_0153_10,Costume,Mecha Frieza,,
Outfit 1,00_1_0000_0153_20,Costume,Frieza (Super),,
Outfit 1,00_1_0000_0154_00,Costume,Frieza (Z) Full Power,,
Outfit 1,00_1_0000_0155_00,Costume,Golden Frieza,,
Outfit 1,00_1_0000_0160_00,Costume,Cell 1st Form,,
Outfit 1,00_1_0000_0161_00,Costume,Cell 2nd Form,,
Outfit 1,00_1_0000_0162_00,Costume,Cell Perfect Form,,
Outfit 1,00_1_0000_0162_01,Costume,Perfect Cell,,
Outfit 1,00_1_0000_0163_00,Costume,Cell Jr.,,
Outfit 1,00_1_0000_0170_00,Costume,Majin Buu,,
Outfit 1,00_1_0000_0171_00,Costume,Majin Buu (Evil),,
Outfit 1,00_1_0000_0172_00,Costume,Super Buu,,
Outfit 1,00_1_0000_0172_10,Costume,Super Buu (Gotenks Absorbed),,
Outfit 1,00_1_0000_0172_11,Costume,Super Buu (Gohan Absorbed),,
Outfit 1,00_1_0000_0173_00,Costume,Kid Buu,,
Outfit 1,00_1_0000_0180_00,Costume,Mr. Satan,,
Outfit 1,00_1_0000_0190_00,Costume,Chiaotzu,,
Outfit 1,00_1_0000_0210_00,Costume,Yajirobe,,
Outfit 1,00_1_0000_0230_00,Costume,Pan (GT),,
Outfit 1,00_1_0000_0240_00,Costume,Uub (GT),,
Outfit 1,00_1_0000_0240_01,Costume,Majuub (GT),,
